bvdid;postcode
DE4210064383;58515
DE8150178410;87435
DE4330007761;57334
DE7370107860;73479
DE2150036972;22547
DE5070248234;47051
DE2390139096;25462
DE8150265435;87509
DE2011490525;12099
DE6210225288;63263
DE2010041272;13407
DE2150876263;20457
DE8290229467;82538
DE8190062593;90491
DE7370022611;89522
DE5330193673;42659
DE6110006307;35708
DE2050051901;27333
DE2011780751;10587
DE5350185067;54290
DE7290108199;66111
DE2010660665;16356
DE4170195407;32120
DE8210041047;88045
DE4250393157;48153
DE6190295341;65428
DE4070001819;44141
DE7330790851;71065
DE2190454647;30655
DE8150007261;87719
DE6070013524;60323
DE7070067155;74321
DE8270282089;89079
DE2011950360;10719
DE2150028241;22113
DE8170000455;80939
DE2190498300;30171
DE6070355079;60489
DE2150849174;21107
DE8330251126;85540
DE2350051511;45307
DE4010000952;33605
DE8210040928;88239
DE8250093392;84478
DE7010003978;79288
DE2150120640;20457
DE5350066496;54290
DE6210051017;63110
DE6210013099;63067
DE5110020680;45127
DE8150000517;86807
DE6290100256;61348
DE7170001965;68219
DE2050409348;29614
DE2390057140;23843
DE4030040153;46325
DE2011782696;10407
DE4330197519;57537
DE8330383867;85748
DE6290123195;60327
DE6270120177;55232
DE7330329512;70469
DE5270000176;41460
DE2151452281;20539
DE6090025470;36041
DE3210141366;96465
DE6210000399;63263
DE8170010920;82031
DE4250043799;59348
DE2010005636;14197
DE5050003131;40549
DE5190538959;50226
DE7110017314;76131
DE7030000406;73037
DE3310002654;08060
DE7330000158;71560
DE3150338028;04129
DE2190188628;30659
DE6250059088;65199
DE6150000390;34212
DE6290206522;61169
DE2370053065;27793
DE2151174308;21220
DE2150493013;21682
DE2150037956;20095
DE7010003918;79108
DE8070018072;95448
DE5190892629;51105
DE2090081583;24937
DE5010006239;52222
DE7330854144;73265
DE3190001233;18055
DE4050006291;46286
DE3030266920;09224
DE6290240378;65812
DE2150326406;21107
DE6170094022;60486
DE2130090697;38640
DE8270001603;89075
DE4070288712;44227
DE8270010490;89077
DE7330002661;73730
DE8030333079;65795
DE5290132343;57638
DE6070339409;60386
DE5190596045;51107
DE8150001912;86842
DE5070255355;47053
DE6070133372;60327
DE4010098995;33604
DE3250000919;15562
DE8090000494;96237
DE8170700002;10783
DE7330364269;71263
DE8190471434;90518
DE3110080731;07937
DE8130000299;86529
DE7030000099;73054
DE7330005589;73240
DE8010090753;63741
DE2151376810;22457
DE5030572048;53501
DE5110363131;45143
DE3270018163;16909
DE5010040851;52531
DE6070541700;60329
DE8030000577;86153
DE6290185028;61381
DE7090138971;67655
DE7290226258;66280
DE7010004553;79219
DE7330449114;70563
DE5050025205;40878
DE6210135055;63263
DE8150005412;87437
DE3310007830;08056
DE8190027770;90473
DE6170068008;65549
DE5050629727;40882
DE5350026684;54290
DE5070158680;47259
DE5030301222;53332
DE6190250735;65462
DE5290007233;56626
DE7110108686;76530
DE7030012152;73033
DE2150019980;20097
DE2010000074;10178
DE5350108190;54570
DE2390280988;22962
DE3050000880;03048
DE8170620010;81375
DE6070343468;60327
DE7170086679;68229
DE5330000471;40789
DE3090039140;99086
DE3150013697;04103
DE4270060422;59939
DE8330292627;82041
DE4010014627;33689
DE6070326252;65719
DE5270039522;41464
DE8190547513;90765
DE6070005793;60327
DE4130001103;33397
DE5050428916;40699
DE5190025750;50829
DE3170176198;39116
DE8250090384;84503
DE6290162842;60549
DE4150013464;59075
DE2150528755;20457
DE4250368352;48155
DE5030344092;53227
DE5190003599;50127
DE2010061796;12347
DE5130044540;47652
DE7350123803;79848
DE2011562382;14195
DE5330014435;51371
DE8330160733;85521
DE6210008807;63110
DE4250107068;48432
DE8150013424;87452
DE2190565079;30890
DE6090000050;36100
DE5110007615;45130
DE4330074191;57074
DE5050566377;40882
DE8030053138;86316
DE2410028239;30659
DE2190451130;31311
DE6070493269;65929
DE8130142309;85053
DE3070285856;01662
DE2210076652;31157
DE5330097126;40764
DE3070046990;01454
DE7010327852;79677
DE6190042915;64521
DE5350000450;54516
DE8310315258;97828
DE5070224458;47228
DE5330264179;51377
DE2150886785;22419
DE5190562383;51491
DE4230002669;32423
DE7250038049;49086
DE7070163496;74078
DE4010023356;33649
DE6090000019;63628
DE5050410081;40882
DE8270210683;89584
DE2310082928;49076
DE2230157245;24232
DE8250177246;83131
DE7330474779;70199
DE7050243737;97421
DE6250003685;65201
DE5210016064;47441
DE7050012954;76694
DE7110086342;76227
DE6070342559;60528
DE8230501626;94474
DE8010004026;63741
DE6190097061;55127
DE7330010053;71032
DE6070211905;65795
DE4070329498;59423
DE5050005872;40880
DE6150049385;36251
DE8290153476;82205
DE2050371226;28199
DE6190089647;65479
DE2150061612;22335
DE8330402409;85521
DE5110126440;45239
DE8190212641;91183
DE8250328530;83043
DE5250000946;45478
DE2210140899;31137
DE3230014988;99817
DE8230001278;92712
DE4190101929;58642
DE5210285880;47809
DE7110005769;60327
DE3150065891;04103
DE5250147858;46045
DE2390338674;21465
DE6070362564;60388
DE2151323732;20097
DE2070099248;38442
DE3030252527;04229
DE8150219942;87541
DE5230174455;41179
DE2050582646;27239
DE7130000353;78315
DE5230046958;41063
DE7030013041;73035
DE8350000782;84051
DE2290091728;24534
DE7110310821;76229
DE2050074609;27404
DE8170697320;81379
DE8170017199;80687
DE3090051685;99084
DE8270000977;88471
DE4170193289;33813
DE5050174136;40880
DE6190030635;55120
DE4250236161;48336
DE7150037183;67112
DE2270000770;23552
DE2290002280;25524
DE4250135837;48607
DE5250001522;45473
DE2370013690;26135
DE6070483003;60549
DE7150001344;67065
DE7150077394;67061
DE4170034350;32584
DE7330840899;70178
DE7170000540;68229
DE4070210549;44135
DE8030318092;86399
DE6050074484;64293
DE7370005031;73457
DE2250006902;26826
DE5190747402;50968
DE5090005027;47533
DE8170013019;81477
DE8170336564;80469
DE5050401976;40237
DE5090015214;47533
DE5050034865;40699
DE8030045536;86556
DE7110213035;76131
DE8270195744;89079
DE8330008133;82024
DE7210092608;77731
DE7330059942;71332
DE6270061128;67547
DE2011687002;12529
DE2151503406;22297
DE5030327955;53111
DE2010953259;13125
DE4230090344;32429
DE4250151785;48153
DE2210040576;31036
DE6290002586;60549
DE8270220353;89073
DE7230000712;75210
DE8170007775;80807
DE8270070734;88471
DE2011782728;10178
DE2151322139;21614
DE6190072225;55131
DE3070034601;01589
DE7170216676;68199
DE2310044020;49074
DE3030166089;09224
DE6090084976;36037
DE6290195306;61440
DE8310265995;97828
DE4110177224;58095
DE2050075179;27404
DE4050433258;45657
DE8190502940;91560
DE5210001925;47441
DE2110002252;37170
DE5150000157;51766
DE4250210578;10623
DE5150012117;51643
DE6050090785;63322
DE6130005819;60386
DE7030048335;73337
DE2050356642;27367
DE2270168092;23909
DE4330226727;57562
DE5170202221;56727
DE4250060927;48153
DE7130029141;78467
DE7010033894;79100
DE5230017229;41334
DE4150013372;59269
DE2151166688;22047
DE6130172755;63457
DE2150422182;22525
DE5250103158;45478
DE8150001301;87700
DE2010434843;12203
DE4230060899;32423
DE5050253530;40882
DE6150007979;35066
DE5010003566;52078
DE4170129993;37671
DE8350065939;85435
DE8170020360;81829
DE6190140553;55116
DE6170065433;35781
DE7010002614;79837
DE5330097916;51375
DE3330130822;23970
DE2030004789;38112
DE7370007117;74594
DE2150038022;20457
DE6150008387;34323
DE2130002052;37154
DE4130008169;33330
DE2390116653;22926
DE5190002653;50354
DE2130040394;38259
DE5070129417;47058
DE5370022713;42553
DE5110188872;40235
DE8150175906;87700
DE7290009058;66280
DE2011807671;13086
DE2190221421;30159
DE8090012460;96450
DE4130124406;33442
DE2050528916;28307
DE5190371917;50679
DE2330081434;29525
DE2150831681;22087
DE5150018302;51643
DE5190011399;51069
DE2150563956;20457
DE8170554401;80333
DE2090002649;24937
DE5010004399;52355
DE2190046986;30169
DE8270057956;89081
DE2050747934;28199
DE8210000123;88299
DE2410043069;48480
DE2010674312;12526
DE5050542124;40468
DE4250176554;48653
DE7130000050;78315
DE8230422921;92637
DE3390000534;02625
DE2390094495;22926
DE4110009756;58089
DE3150241189;04029
DE4290065824;33098
DE4050216444;45768
DE2150332507;20355
DE5190001349;50739
DE8330396981;85737
DE7330880313;70372
DE6210198703;63128
DE8070155873;96260
DE7110296767;76437
DE2011923384;10409
DE7130006140;78467
DE4050120700;44791
DE2050471859;27245
DE7330009712;70188
DE2150083550;21423
DE2190068392;30855
DE6210213837;63263
DE7330248812;73635
DE7330065323;70794
DE3150036850;04862
DE8210002780;88348
DE2190018839;30938
DE6290034925;61231
DE8190006063;91227
DE6250001423;65191
DE6070516106;60329
DE8330007601;85748
DE2150899384;22767
DE5110018101;45141
DE8090031269;96450
DE6050002258;64293
DE6130098083;63571
DE5250036420;45478
DE8090031411;96450
DE8130089621;86690
DE6270139382;55286
DE5410001754;42279
DE4070274637;44309
DE5050550980;40549
DE5070259711;47166
DE4250008574;48432
DE7090045623;36119
DE7330004590;70188
DE8190029479;91154
DE8190031011;90451
DE7350001583;79790
DE6130038708;63526
DE6070333895;60314
DE2190014362;30165
DE3190087545;18513
DE8050060251;96052
DE7370001282;73466
DE7170156067;68219
DE5010124811;57439
DE4070211640;44379
DE7010130230;79539
DE6210017153;64823
DE4070498067;44536
DE4310062004;58285
DE6070468090;65719
DE8030044357;86368
DE2150678159;20537
DE4110000496;58099
DE4170000967;32051
DE6110028226;35037
DE7370146889;74597
DE6250141767;65195
DE7290000459;66280
DE5030145696;53840
DE2410056539;48529
DE7110078511;76227
DE7330813125;71034
DE6210251584;63067
DE5030035016;53783
DE4250300002;48155
DE2350092135;27574
DE7110242481;76437
DE7010275313;79730
DE4170001863;32052
DE7110174297;76131
DE5150000654;51580
DE2030011449;38124
DE3070015204;01129
DE3310009837;09337
DE5150000793;51597
DE5190001932;51149
DE2150533299;20149
DE5230182596;41236
DE4110013071;58135
DE7230007984;72280
DE6150156606;34117
DE7010221766;79100
DE2190573192;30159
DE6070463775;60488
DE5050152944;40699
DE2151352697;20355
DE2310197783;49124
DE7330028054;70180
DE6210000235;63179
DE4050014142;44623
DE6190009000;55218
DE5270218356;47533
DE6290012018;61231
DE2050372206;28359
DE7370021950;89537
DE8130001766;85084
DE8170013568;81925
DE5050001967;40627
DE7210002472;77787
DE8310293987;97520
DE2410000605;49808
DE8190613563;91781
DE2012031281;10178
DE5330004826;42699
DE3230001216;23556
DE2151438949;22767
